Word,Part of Speech
acetonuria,Noun
acetophenetidin,Noun
acetose,Adjective
acetous,Adjective
acetphenetidin,Noun
acetum,Noun
acetyl,Noun
acetyl chloride,Noun
acetyl group,Noun
acetyl radical,Noun
acetylate,Verb
acetylation,Noun
acetylcholine,Noun
acetylene,Noun
acetylenic,Adjective
acetylic,Adjective
acetylise,Verb
acetylize,Verb
acetylsalicylic acid,Noun
achaea,Noun
achaean,Adjective/Noun
achaian,Noun
ache,Noun/Verb
achene,Noun
achenial,Adjective
acheron,Noun
acheronian,Adjective
acherontia,Noun
acherontia atropos,Noun
acherontic,Adjective
acheson,Noun
acheson process,Noun
acheta,Noun
acheta assimilis,Noun
acheta domestica,Noun
achievability,Noun
achievable,Adjective
achieve,Verb
achievement,Noun
achiever,Noun
achille ratti,Noun
achillea,Noun
achillea millefolium,Noun
achillea ptarmica,Noun
achilles,Noun
achilles tendon,Noun
achilles' heel,Noun
achimenes,Noun
aching,Adjective/Noun
achira,Noun
achlamydeous,Adjective
achlorhydria,Noun
achlorhydric,Adjective
achmad sukarno,Noun
achoerodus,Noun
achoerodus gouldii,Noun
acholia,Noun
achomawi,Noun
achondrite,Noun
achondritic,Adjective
achondroplasia,Noun
achondroplastic,Adjective
achondroplasty,Noun
achras,Noun
achras zapota,Noun
achromasia,Noun
achromatic,Adjective
achromatic color,Noun
achromatic colour,Noun
achromatic lens,Noun
achromatic vision,Noun
achromaticity,Noun
achromatin,Noun
achromatinic,Adjective
achromatise,Verb
achromatism,Noun
achromatize,Verb
achromatous,Adjective
achromia,Noun
achromic,Adjective
achromous,Adjective
achromycin,Noun
achy,Adjective
achylia,Noun
achylia gastrica,Noun
acicula,Noun
acicular,Adjective
aciculate,Adjective
acid,Adjective/Noun
acid anhydrides,Noun
acid dye,Noun
acid halide,Noun
acid head,Noun
acid hydrogen,Noun
acid precipitation,Noun
acid rain,Noun
acid rock,Noun
acid test,Noun
acid value,Noun
acid-base balance,Noun
acid-base equilibrium,Noun
acid-base indicator,Noun
acid-fast,Adjective
acid-forming,Adjective
acid-loving,Adjective
acid-tasting,Adjective
acid-wash,Verb
acidemia,Noun
acidic,Adjective
acidic hydrogen,Noun
acidification,Noun
acidify,Verb
acidimetric,Adjective
acidimetry,Noun
acidity,Noun
acidophil,Noun
acidophile,Noun
acidophilic,Adjective
acidophilous,Adjective
acidophilus,Noun
acidophilus milk,Noun
acidosis,Noun
acidotic,Adjective
acidulate,Verb
acidulent,Adjective
acidulous,Adjective
acidulousness,Noun
aciduric,Adjective
acinar,Adjective
acinic,Adjective
acinonyx,Noun
acinonyx jubatus,Noun
acinos,Noun
acinos arvensis,Noun
acinose,Adjective
acinous,Adjective
acinus,Noun
acipenser,Noun
acipenser huso,Noun
acipenser transmontanus,Noun
acipenseridae,Noun
ack-ack,Noun
ack-ack gun,Noun
ackee,Noun
acknowledge,Verb
acknowledgeable,Adjective
acknowledged,Adjective
acknowledgement,Noun
acknowledgment,Noun
aclant,Noun
aclinic line,Noun
acme,Noun
acne,Noun
acne rosacea,Noun
acne vulgaris,Noun
acned,Adjective
acneiform,Adjective
acnidosporidia,Noun
acocanthera,Noun
acocanthera oblongifolia,Noun
acocanthera oppositifolia,Noun
acocanthera spectabilis,Noun
acocanthera venenata,Noun
acokanthera,Noun
acold,Adjective
acolyte,Noun
aconcagua,Noun
aconite,Noun
aconitum,Noun
aconitum lycoctonum,Noun
aconitum napellus,Noun
acoraceae,Noun
acorea,Noun
